title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:ほほえみかける【微笑掛】	type:［新項目］	date:2012年10月02日	citation:女中は一寸微笑みかけたが、慌てて右の袂を飜えして顔を拭いた。	book:「金魚」（「豊島与志雄著作集　第六巻（随筆・評論・他）」未来社 ）/単行本/1967年11月10日/豊島与志雄/青空文庫/青空文庫	explanation:〔他カ下一〕ほほえみそうになる。	comment:コメント：この用例は「かける」の一般的なものですが、もう一つの語釈「相手に向かってほほえむ。ほほえみを相手に向ける。」というもののために投稿しました。	reply:第２版では、立項されませんでした。
title:すみわける【棲分・住分】	type:［新項目］	date:2012年10月02日	citation:ですから、生活空間や生活方法が同じ種同士は、食物をわけたり、棲息場所を時間的に棲みわけている。	book:父という余分なもの サルに探る文明の起源/単行本/1997年/三浦 雅士/山極 寿一/（現代日本語書き言葉均衡コーパス）/新書館	explanation:〔他カ下一〕互いに類似した生活様式を持つ二種以上の生物の個体群が、生活場所、活動時間、食物の嗜好などを少しずつずらすことによって、一つの生育環境中に共存する。	comment:コメント：「棲み分け」の動詞化。	reply:第２版では、立項されませんでした。
title:たける【炊】	type:［新項目］	date:2012年10月04日	citation:乗越は星の下に白く見えた。淋しい谷に、チッチロという鳥の声を聞いたと思うと、次第に空が白んで、飯が炊ける時分には、日がパッとあたってきた。	book:山と雪の日記/単行本/1977年/板倉勝宣/（青空文庫）春の上河内へ/中央公論社	explanation:〔自カ下一〕炊いたものができあがる。炊きあがる。	comment:コメント：この「炊ける」は「炊くことができる」という可能の意味ではなく、「炊く」の自動詞としての用法です。「風呂が焚けた」のようなものもあるとは思いますが、見つかりませんでした。	reply:第２版では、立項されませんでした。「炊く」→「炊ける」は、「はく（捌）」→「捌ける」の対に似ていますね。「捌ける」は見出しにあります。
title:ほほえみかける【微笑掛】	type:［新項目］	date:2012年10月02日	citation:千代は鏡の中でぱっと眼を移し、重って写っている彼の顔に向って華やかに微笑みかけそして、ゆっくりどきながら云った。	book:「宮本百合子全集　第三十巻」/単行本/1986年3月20日/宮本百合子/（青空文庫）/新日本出版社 	explanation:相手に向かってほほえむ。ほほえみを相手に向ける。	comment:コメント：「わらいかける」の語釈2と同様の用法です。「微笑しかける」にはない用法であり、同様に立項する必要があると思います。	reply:第２版では、立項されませんでした。
title:ねびく【値引】	type:［新項目］	date:2012年10月02日	citation:埼玉県立四病院では年間四十億円分の薬品を購入するが、一％でも安く値引いてもらって買えば、四千万円の差が出るのである。	book:こうしたら病院はよくなった！/単行本/2005年/武弘道/（現代日本語書き言葉均衡コーパス）/中央経済社	explanation:〔他カ五〕値をまける。値をまけさせる。	comment:コメント：「値引き」から作られた動詞ですが、今ではよく使われる言い方ではないでしょうか。	reply:第２版では、立項されませんでした。
title:すみわける【棲分・住分】	type:［新項目］	date:2012年10月02日	citation:機械化、自動化の時代ではあるが、細かなサービスのところでは、機械と棲み分けて、「人間力」の有効性を求めたい。	book:バリアフリーの店と接客/単行本/1999年/E&amp;Cプロジェクト 編/（現代日本語書き言葉均衡コーパス）/日本経済新聞社	explanation:互いに競合するものが、それぞれの強みを生かすことによって、一つの環境中に共存する。	comment:コメント：この用法は近年よく目にするものではないでしょうか。	reply:「棲み分ける」を立項する際にはブランチが二つ必要ですね。
title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:愛し合うときに&amp;#160;&amp;#160;「電気は消して」という女性が多いかと思います。	book:一行力/単行本/2004年/岩永嘉弘/（現代日本語書き言葉均衡コーパス）/草思社	explanation:〔他ワ五〕（婉曲的に）（二人の人間が）性行為をする。	comment:コメント：よく目・耳にする使い方ではないでしょうか。	reply:第２版では、立項されませんでした。
title:とりそろう【取揃】	type:［新項目］	date:2012年10月20日	citation:まさに名刹として缺けてはならんものがー應全部取り揃っている。	book:日出造膝栗毛/単行本/1954年/近藤日出造/不明（Google Books より）/文藝春秋新社	explanation:〔自ワ五〕いろいろともれなく集めそろえられている。「取り揃える」の自動詞化。	comment:コメント：「取り揃える」が自動詞化したもので、誤用と考えることもできますが、それなりに広まっているようです。	reply:「取り揃える」→「取り揃う」（＜他＋他＞→＜他＋自＞）は、ちょうど「立ち上がる」→「立ち上げる」（＜自＋自＞→＜自＋他＞）の逆ですかね。
title:しらべだす【調出】	type:［新項目］	date:2012年10月10日	citation:そんなにまで苦心をして調べ出して来たのは気のきいた男であると思ったが、人がすでに集まって来ていたからそれ以上の細かいことは言わせずに済ませた。	book:全訳源氏物語　下巻/単行本/1972年/紫式部（與謝野晶子訳）/（青空文庫）http://www.aozora.gr.jp/cards/000052/files/5068_17944.html/角川書店 	explanation:〔他サ五〕調べて結果を得る。	comment:コメント：「〜出す」には「〜し始める」という意味が一般的にありますが、それに収まらない意味なので投稿しました。「調査し出す」には「始める」の意味しかありません。	reply:第２版では、立項されませんでした。
title:きりさがる【切下】	type:［新項目］	date:2012年10月20日	citation:というのは、図表1-2が示しているとおり、円のレートが切り下がるか、（あるいは、日本の物価が一様に下落すれば）、中国との物価水準が調整されてしまうため、あとは産業の序列が変わること、つまり、日本国内の産業との序列競争に論点が絞られるにすぎないからです。	book:エコノミクス 入門 国際経済/単行本/2005年/中北 徹/6ページ/ダイヤモンド社	explanation:〔自ラ五〕貨幣の価値が低くされる。切り下げが行われる。	comment:コメント：金融業界では一般的であるようです。	reply:第２版では、立項されませんでした。「切り下げる」の自動詞化ですね。
title:くみかわる【組換】	type:［新項目］	date:2012年10月21日	citation:抗体の免疫グロブリン遺伝子は、成長するに従ってダイナミックに組み換わり，その組み合わせの数だけ抗体をつくり出していた．	book:ポイントがわかる分子生物学　第2版/単行本/2010年/真野 佳博,川向 誠/47ページ/丸善	explanation:〔自ラ五〕組み合わせがかわる。特に遺伝子について言う。	comment:コメント：「組み換える」の自動詞形です。	reply:第２版では、立項されませんでした。
title:ころげおとす【転落】	type:［新項目］	date:2012年10月24日	citation:高貴なお方の出産の時、甑を屋根から転げ落とすということは、必ずしも皆するとは限らない。	book:日本語の意味の構造/単行本/2001年/野村玄良/137/文芸社	explanation:〔他サ五〕転がして落とす。	comment:コメント：「転げ落ちる」の他動詞化。	reply:第２版では、立項されませんでした。
title:とりまとまる【取纏】	type:［新項目］	date:2012年10月24日	citation:感情と意志との斯かる暗鬪において精神生活は全く立脚地を失つてしまつて何等のとりまとまつた堅實なことを考へる餘裕すらない。	book:露國現代の思潮及文學/単行本/1923年/昇曙夢/446/改造社	explanation:〔自ラ五〕整理がつく。	comment:コメント：「報告書がとりまとまる」のような場合とは少し違うので。	reply:第２版では、立項されませんでした。
title:とりまとまる【取纏】	type:［新項目］	date:2012年10月24日	citation:しゅうしゅう が 付（つ）く：乱れた事態などがおさまる。とりまとまる。	book:日本国語大辞典/単行本/2000-2002年/日本国語大辞典第二版編集委員会・小学館国語辞典編集部/Web版より/小学館	explanation:〔自ラ五〕乱れた事態などがおさまる。	comment:コメント：「しゅうしゅうがつく」の語釈に使われていたものです。「とりまとめる」の 2番目の用法が自動詞化したものだと思われます。	reply:第２版では、立項されませんでした。
title:とりまとまる【取纏】	type:［新項目］	date:2012年10月24日	citation:公表統計調査結果の公表は，従来通り調査結果の取りまとまり次第農政クラブ，農林記者会等において印刷物により行なうと同時に，国会，関係官公庁に印刷物の配付を行なつた。	book:昭和36年度 農林省年報/新聞・広報・官報/1963年3月20日/農林大臣官房総務課/152/社団法人 日本農村調査会	explanation:〔自ラ五〕一つのものとして完成する。整理がつく。できあがる。	comment:コメント：「取りまとめる」の自動詞化。語釈は「まとまる」の 3 を流用しました。	reply:第２版では、立項されませんでした。
title:げんきん【減菌】	type:［新項目］	date:2012年11月02日	citation:用語の意味から見ると、総合して菌を付きにくくしたり、付着した微生物を増殖させないことを「抗菌」、病原性をもつ微生物などの菌を殺すことを「殺菌」、食品などに適用されている熱処理などで、菌の数を減らすことを「減菌」、食品工場や医薬品などに用いられる方法で、濾過や洗浄などの作用で微生物を取り除いたり、育成を妨げることを「除菌」といっている。	book:この言葉の違いを言えますか?/単行本/2002年/博学こだわり倶楽部 /12/河出書房新社	explanation:菌の数を減らすこと。	comment:コメント：用語として取り上げられているもので、実態としてはこれ以前からあったものと思われます。	reply:第２版では、立項されませんでした。国研の少納言で調べてみると、日本外来小児科学会編『症にプライマリ・ケア虎の巻』（2001）に「ワクチンの溶解を減菌操作に注意しながら自分でやってみる」というのがありました。
title:びいちく	type:［新項目］	date:2012年11月08日	citation:「ビーチク立っちゃった」と茶髪の智恵ちゃんが言った。	book:恋こがれてスリランカ/単行本/2002年/川上 枝里子/88ページ/南船北馬舎	explanation:〔名〕「ちくび（乳首）」の倒語。	comment:コメント：「ビーチク」がテレビ業界用語であること、一般人が使ったので驚いたことが書いてあります。これももっと古いものがあると思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:ぱいおつ	type:［新項目］	date:2012年11月08日	citation:初めは手を握つてよ、それからおまえパイオツさわったさ。	book:小檜山博全集 第三巻/単行本/2006年/小檜山博/65ページ（Google Books より）/柏艪舎	explanation:女性のふくらんだ乳房。「おっぱい」の倒語。	comment:コメント：ここ2〜30年にわたって使われている俗語です。このようなものには「タマキン」「ポコチン」「ビーチク」「コーマン」などがありますが、これらも日本語の一部ではないでしょうか。	reply:第２版では、立項されませんでした。
title:たまきん【玉金】	type:［新項目］	date:2012年11月08日	citation:タマキンって痛えからなァ……	book:人生は喜怒哀楽のシンフォニー/単行本/2002年/沼野良平/196/文芸社	explanation:「金玉」の倒語。	comment:コメント：70〜80年代に流行したもののようなので、探せばもっと古いものがあるかと思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:ぽこちん	type:［新項目］	date:2012年11月08日	citation:暗くなって来た景色の中で、二人は顔を見詰め合い、頷き合い、奉安殿に近づいておもむろにズボンの穴からポコチンを出した。	book:バギオの蕎麦/単行本/2002年/米山 麒麟/58/文芸社	explanation:〔名〕「ちんぽこ」の倒語。	comment:コメント：「ポコチン共和国」という、黒鉄ヒロシさんによる1978年の漫画があるようです。	reply:第２版では、立項されませんでした。
title:こうまん	type:［新項目］	date:2012年11月08日	citation:「タマキン全力投球」でオナニーを語り、女性器を意味する「コーマン！」をやたらと連発し、それどころか、軍団を連れ立ってソープを貸し切ったドンチャン騒ぎの遊びっぷりを逐次、包み隠さず報告する。	book:キッドのもと/単行本/2010年/浅草キッド/197/学習研究社	explanation:〔名〕「まんこ」の倒語。	comment:コメント：1981年に始まった「オールナイトニッポン」についての描写です。その当時はもっと流行していたのかもしれません。	reply:第２版では、立項されませんでした。
title:しこる【凝・痼】	type:［語釈］	date:2012年11月19日	citation:今しこってんだよ。しこってたらどうしてくれるんだよババア	book:馬鹿猛者/単行本/2003年/森 亮介/102/文芸社	explanation:〔自ラ五〕（男性が）自慰行為をする。	comment:コメント：同語源かは不明ですが、とりあえず。この用法の歴史はもっと古いと思われます。	reply:第２版では、この用法には触れていませんね。
title:ツモる【自摸】	type:［新項目］	date:2012年11月21日	citation:ときにはポンしようとした牌そのものをツモることさえあるのだ。	book:麻雀力検定140/単行本/2002年/横山竜介 著、日本プロ麻雀連盟 監修/（現代日本語書き言葉均衡コーパス）/永岡書店	explanation:〔自ラ五〕マージャンで、自摸（ツーモー）をする。	comment:コメント：これ以前よりあると思われますが、とりあえずコーパスにあるものを。	reply:第２版では、立項されませんでした。
title:かんがえめぐらす【考巡】	type:［新項目］	date:2012年11月19日	citation:わかろうとあせったり、意味を考えめぐらしたりなどしても、味は出てくるものではない。	book:昭和文学全集第33巻/単行本/1989年/和辻　哲郎/（現代日本語書き言葉均衡コーパス）/小学館	explanation:〔他サ五〕あれこれと考える。	comment:コメント：「考え巡らせる」の形もあります。	reply:第２版では、この語形では立項されませんでした。
title:ぶっこく【─扱】	type:［新項目］	date:2012年12月10日	citation:そのころの私は、調子ぶっこいていたのだ。	book:妄想少女~「彼」依存症~/単行本/2007年/高橋 ヒカル/52/文芸社	explanation:（「調子ぶっこく」の形で）調子に乗った態度を取る。	comment:コメント：「調子こく」の強調。	reply:第２版では、立項されませんでした。
title:ツモる【自摸】	type:［新項目］	date:2012年11月21日	citation:遊里子、麻雀で一番最高なのは役満て言うんだ。ツモった時なんかしびれちゃうんだぜ！	book:アゲイン/単行本/2003年/樅山風子/（現代日本語書き言葉均衡コーパス）/文芸社	explanation:〔自ラ五〕マージャンで、自摸（ツーモー）によってあがる。	comment:コメント：派生的な用法です。	reply:第２版では、立項されませんでした。
title:かっぱぐ【掻剥】	type:［新項目］	date:2013年02月01日	citation:拙者は、世の中の銭を身ぐるみかっぱぐつもりで商人になり申した。	book:別册 文藝春秋(247)/雑誌/2003年8月7日/浅田次郎/101/文藝春秋社	explanation:〔他ガ下二〕追いはぎをする。	comment:コメント：麻雀用語のつもりで用例を探したのですが、そちらは見つかりませんでした。参考までに、麻雀用語としては大量得点するという意味です。	reply:おそらく、「かっ」は「かっ喰らう」「かっ込む」と同じ接頭語と考えられますので、意味の核は「剥ぐ」ですね。「奪い取る」「取り上げる」の強調形と思われます。
title:ぶうたれる	type:［新項目］	date:2012年12月10日	citation:スレンが下唇を突き出してぶーたれて帰ってきたとき、リビーは二階の宿になっている自分の部屋で寝ていた。	book:リヴァイアス/単行本/2005年/あやま りょう/120/文芸社	explanation:〔自ラ下一〕不平を言う。	comment:コメント：主な表記は「ぶーたれる」です。実態としてはもっと前からあると思います。	reply:第２版では、立項されませんでした。ふつう辞典の見出しの平仮名は現代仮名遣いによりますから、「ぶー」は「ぶう」と表記しますね。それとは別に長音表記の用例はそれと示します。
title:さきのばし【先延】	type:［新項目］	date:2013年02月13日	citation:かつて,欲望満足の先のばしと目標達成のための禁欲を強いてきた現実原則は,ゆたかな社会でその効力を失い	book:現代青年論/単行本/1973年/濱島朗/28/有斐閣	explanation:〔名〕したいことやするべきこと、予定していたことなどを、今ではなく未来にすることにする。	comment:コメント：よく使います。	reply:第２版では、立項されませんでした。
